name,xmlUrl,htmlUrl
32-Bit Cafe Bytes,https://listmonk.32bit.cafe/archive.xml,https://listmonk.32bit.cafe
82MHz,https://82mhz.net/index.xml,https://82mhz.net
404 Media,https://www.404media.co/rss/,https://www.404media.co
a brief departure (Robb Owen),https://departures.robbowen.digital/feed.xml,https://departures.robbowen.digital
adast RSS Feed,https://adast.dk/index.rss,https://adast.dk
Alex Schroeder’s Diary,https://alexschroeder.ch/view/index.rss,https://alexschroeder.ch
Always Judge a Book by its Cover,https://alwaysjudgeabookbyitscover.com/index.xml,https://alwaysjudgeabookbyitscover.com
Anders Thoresson,https://anders.thoresson.se/rss/rss.xml,https://anders.thoresson.se
anhvn,https://anhvn.com/feed.xml,https://anhvn.com
Artists and Hackers,https://www.artistsandhackers.org/feed.xml,https://www.artistsandhackers.org
ava's blog,https://blog.avas.space/feed/,https://blog.avas.space
Axe Drax,https://axedrax.uk/feed/,https://axedrax.uk
BIG by Matt Stoller,https://www.thebignewsletter.com/feed,https://www.thebignewsletter.com
Bobby's Blog,https://bobbyhiltz.com/atom.xml,https://bobbyhiltz.com
bojidar-bg.dev — Blog,https://bojidar-bg.dev/blog.xml,https://bojidar-bg.dev
Brain Baking,https://brainbaking.com/index.xml,https://brainbaking.com
brokkr.net,https://brokkr.net/feed/,https://brokkr.net
Cassidy Williams,https://cassidoo.co/rss.xml,https://cassidoo.co
Chartography,https://www.chartography.net/feed,https://www.chartography.net
Christian Heilmann,https://christianheilmann.com/feed/,https://christianheilmann.com
CJ The X,https://cjthex.com/feed/,https://cjthex.com
Clayton Wramsey,https://claytonwramsey.com/blog/rss.xml,https://claytonwramsey.com
Climate Town,https://www.climatetown.news/feed.xml,https://www.climatetown.news
Concretedog,https://www.blogger.com/feeds/8020589647029137450/posts/default,https://www.blogger.com
Daley's blog,https://lingwhatics.ca/feed.xml,https://lingwhatics.ca
danluu.com/atom.xml,https://danluu.com/atom.xml,https://danluu.com
Dan Sinker's Blog,https://dansinker.com/feed.xml,https://dansinker.com
datagubbe,https://datagubbe.se/atom.xml,https://datagubbe.se
dbushell.com,https://dbushell.com/rss.xml,https://dbushell.com
Dead Archivist Society,https://transjovian.org/view/archives/index.rss,https://transjovian.org
Dense Discovery,https://www.densediscovery.com/feed/,https://www.densediscovery.com
